,year,donor,amount
0,1990,Taiwan,24501568
1,1991,Taiwan,145240594
2,1992,Taiwan,42765090
3,1993,Taiwan,197624458
4,1994,Taiwan,193210995
5,1995,Taiwan,42092864
6,1996,Taiwan,141364610
7,1997,Taiwan,167023739
8,1998,Taiwan,132358210
9,1999,Taiwan,79630719
10,2000,Ireland,246213764
11,2000,Taiwan,57196391
12,2001,Ireland,336626715
13,2001,Taiwan,67249345
14,2002,Greece,214831202
15,2002,Ireland,402984386
16,2002,Taiwan,25854034
17,2003,Greece,371012706
18,2003,Ireland,396189066
19,2003,Taiwan,29681670
20,2004,Greece,223774677
21,2004,Ireland,443046986
22,2004,Taiwan,36224557
23,2005,Greece,267817386
24,2005,Ireland,509018873
25,2005,Taiwan,16521069
26,2006,Greece,247353378
27,2006,India,156845043
28,2006,Ireland,638682050
29,2006,Korea,2306720433
30,2006,Taiwan,75974053
31,2007,Greece,279517116
32,2007,India,404213680
33,2007,Ireland,765058148
34,2007,Korea,3135625602
35,2007,Taiwan,62867120
36,2008,Greece,316236290
37,2008,India,1507856310
38,2008,Ireland,838269477
39,2008,Korea,3795372418
40,2008,Taiwan,58773027
41,2009,Greece,302996603
42,2009,India,1507044500
43,2009,Ireland,681821451
44,2009,Korea,4145203785
45,2009,Taiwan,36470109
46,2010,Greece,224819873
47,2010,India,642592223
48,2010,Ireland,617293353
49,2010,Korea,1921185530
50,2010,Taiwan,73835921
51,2011,Greece,153897346
52,2011,Ireland,606083964
53,2011,Korea,1627533718
54,2011,Taiwan,133495869
55,2012,Greece,116815779
56,2012,Ireland,570016077
57,2012,Korea,1760095421
58,2013,Greece,40695643
59,2013,Ireland,530869905
60,2013,Korea,7064438453
61,1990,Others,24501568
62,1991,Others,145240594
63,1992,Others,42765090
64,1993,Others,197624458
65,1994,Others,193210995
66,1995,Others,42092864
67,1996,Others,141364610
68,1997,Others,167023739
69,1998,Others,132358210
70,1999,Others,79630719
71,2000,Others,303410155
72,2001,Others,403876060
73,2002,Others,643669622
74,2003,Others,796883442
75,2004,Others,703046220
76,2005,Others,793357328
77,2006,Others,3425574957
78,2007,Others,4647281666
79,2008,Others,6516507522
80,2009,Others,6673536448
81,2010,Others,3479726900
82,2011,Others,2521010897
83,2012,Others,2446927277
84,2013,Others,7636004001
