donor,decade,donations
United States,70,105524225950
United States,00,297304471964
Japan,70,67433592514
Japan,00,187654057603
Germany,70,48820636401
Germany,00,112896888442
France,70,24343723572
France,00,104927549075
United Kingdom,70,22868901034
United Kingdom,00,71096400423
Canada,70,18047066449
Canada,00,38036459580
Netherlands,70,15225931650
Netherlands,00,55650676718
Australia,70,13190996668
Australia,00,35580041387
Sweden,70,12339359819
Sweden,00,32241951973
Norway,70,5230384281
Norway,00,36006545366
All others,70,50431730943
All others,00,192800975966
